Dia,Hora,Temperatura,Humedad,Presion
1,1,24.7,54,1024
1,2,29.4,54,1026
1,3,11.2,44,999
1,4,26.0,69,1017
1,5,39.8,53,996
1,6,16.3,65,1000
1,7,23.6,61,1004
1,8,16.6,56,998
1,9,12.7,47,1017
1,10,20.4,64,1033
1,11,21.3,61,1028
1,12,22.8,20,1010
1,13,21.5,21,995
1,14,24.0,59,1028
1,15,13.7,35,1020
1,16,19.1,23,1005
1,17,22.0,69,1034
1,18,32.8,34,996
1,19,26.2,64,1014
1,20,12.8,28,1019
1,21,19.9,29,999
1,22,37.0,29,1023
1,23,14.1,45,1032
1,24,39.5,22,1029
2,1,35.1,52,1030
2,2,11.1,59,1022
2,3,37.2,27,1018
2,4,10.5,40,1008
2,5,39.6,63,1010
2,6,30.2,22,1025
2,7,35.0,43,1015
2,8,26.0,46,1003
2,9,22.0,65,1008
2,10,19.7,34,1000
2,11,36.1,69,1003
2,12,36.4,43,1001
2,13,39.7,60,1014
2,14,24.8,51,1015
2,15,37.0,23,997
2,16,37.6,68,1030
2,17,10.2,51,1008
2,18,31.2,51,1004
2,19,29.8,29,1018
2,20,11.8,61,1000
2,21,16.2,35,1009
2,22,35.0,28,1003
2,23,23.2,37,997
2,24,36.9,33,1026
3,1,24.5,56,1007
3,2,14.5,62,1034
3,3,30.4,55,1020
3,4,13.7,38,1024
3,5,18.1,48,995
3,6,35.1,69,1006
3,7,31.9,60,1006
3,8,18.9,23,1033
3,9,27.1,58,1013
3,10,12.3,38,1034
3,11,12.4,54,1032
3,12,28.0,68,1008
3,13,16.8,23,1027
3,14,15.6,38,1014
3,15,10.8,22,1016
3,16,21.1,58,1026
3,17,32.1,27,1034
3,18,26.9,20,1033
3,19,24.3,48,1015
3,20,22.7,49,1030
3,21,23.2,43,995
3,22,23.3,34,1028
3,23,16.9,24,1027
3,24,26.3,44,1031
4,1,21.4,37,1007
4,2,32.0,28,1003
4,3,31.8,26,1034
4,4,38.1,40,1028
4,5,12.3,60,1028
4,6,34.6,26,995
4,7,37.3,24,1019
4,8,18.1,35,1019
4,9,11.7,46,1032
4,10,28.2,25,1032
4,11,28.6,48,1026
4,12,16.9,22,1000
4,13,38.0,24,1014
4,14,17.3,20,997
4,15,31.3,42,1009
4,16,27.0,56,1029
4,17,18.6,37,1016
4,18,31.2,38,1015
4,19,20.2,43,1008
4,20,34.0,26,1011
4,21,25.9,27,1005
4,22,37.0,43,1011
4,23,35.1,41,1024
4,24,38.8,45,1003
5,1,12.9,49,1032
5,2,32.7,40,1028
5,3,35.3,27,1009
5,4,30.2,59,1027
5,5,10.9,47,1012
5,6,13.6,68,1026
5,7,31.3,37,1019
5,8,35.1,61,1008
5,9,39.2,28,1005
5,10,14.5,57,1016
5,11,19.7,39,1003
5,12,17.7,67,1007
5,13,31.5,58,1015
5,14,19.3,44,1005
5,15,27.5,49,1010
5,16,39.9,40,1025
5,17,31.4,30,1012
5,18,21.8,41,1011
5,19,21.7,55,1023
5,20,19.7,66,1005
5,21,25.4,66,1014
5,22,39.8,27,1002
5,23,33.1,24,1030
5,24,28.5,50,999
6,1,27.5,63,1033
6,2,25.9,69,1005
6,3,25.6,44,1023
6,4,14.9,63,1005
6,5,16.5,55,1018
6,6,31.4,30,1009
6,7,30.6,45,1004
6,8,16.1,44,1025
6,9,34.1,68,1024
6,10,30.7,54,1027
6,11,32.1,60,1028
6,12,29.9,29,1020
6,13,28.5,48,1004
6,14,35.0,27,1024
6,15,12.5,58,1020
6,16,14.1,23,997
6,17,29.8,31,1012
6,18,22.7,56,1025
6,19,37.2,67,1012
6,20,36.9,58,1001
6,21,33.4,65,1000
6,22,34.6,60,1025
6,23,33.4,32,1028
6,24,16.2,25,1001
7,1,11.1,56,1015
7,2,35.1,42,1028
7,3,28.5,29,1018
7,4,36.2,51,1012
7,5,10.3,51,1028
7,6,16.0,38,1021
7,7,15.1,28,1011
7,8,33.9,66,1008
7,9,18.2,37,1024
7,10,20.1,67,1023
7,11,26.1,51,998
7,12,33.3,63,1004
7,13,18.4,35,1006
7,14,26.8,52,1011
7,15,24.5,43,1028
7,16,31.9,60,1010
7,17,11.2,36,1019
7,18,26.7,61,1020
7,19,17.3,44,1025
7,20,19.4,40,1011
7,21,28.7,62,995
7,22,35.8,33,1021
7,23,24.5,20,1021
7,24,28.0,36,1010
8,1,19.0,64,1020
8,2,27.7,57,1023
8,3,27.4,64,1017
8,4,12.5,56,1009
8,5,28.9,44,1002
8,6,25.0,28,1026
8,7,33.9,63,1025
8,8,23.2,55,1017
8,9,36.6,40,1033
8,10,29.5,47,1011
8,11,39.8,66,995
8,12,28.4,28,1022
8,13,16.6,27,1034
8,14,16.9,32,1016
8,15,14.7,45,995
8,16,35.7,28,1003
8,17,27.4,56,1014
8,18,31.0,62,1013
8,19,25.1,55,1021
8,20,25.6,31,1028
8,21,34.2,28,1010
8,22,22.6,65,1024
8,23,25.3,36,1031
8,24,28.9,32,1004
9,1,27.4,46,1006
9,2,33.4,49,998
9,3,29.6,58,1020
9,4,13.2,43,1024
9,5,13.9,28,1004
9,6,33.9,22,1007
9,7,29.1,53,1027
9,8,28.2,49,1016
9,9,10.2,53,1011
9,10,15.2,37,1006
9,11,29.5,32,1024
9,12,32.5,64,1021
9,13,20.8,68,1008
9,14,18.2,31,1001
9,15,18.8,48,1000
9,16,31.8,43,997
9,17,21.0,53,1008
9,18,14.7,52,998
9,19,39.3,64,1024
9,20,18.9,44,1011
9,21,37.9,56,1023
9,22,30.1,53,998
9,23,37.0,53,1032
9,24,24.3,33,1015
10,1,16.1,48,1019
10,2,13.0,38,996
10,3,31.9,56,1027
10,4,28.3,62,1016
10,5,26.3,62,1002
10,6,21.0,61,1000
10,7,39.9,28,1022
10,8,23.9,45,1022
10,9,39.5,42,1028
10,10,31.8,52,1022
10,11,19.6,64,1026
10,12,15.3,33,1027
10,13,35.4,42,1026
10,14,29.5,56,1009
10,15,36.8,29,1027
10,16,17.9,43,1030
10,17,23.8,66,999
10,18,38.0,39,995
10,19,17.3,60,1000
10,20,23.0,23,1008
10,21,25.3,53,1007
10,22,19.8,29,1007
10,23,15.2,63,1010
10,24,11.4,34,1008
11,1,31.4,40,1013
11,2,11.6,49,1026
11,3,17.9,23,1009
11,4,37.0,56,995
11,5,12.9,27,1023
11,6,22.5,20,1026
11,7,21.7,64,1017
11,8,32.1,64,1023
11,9,26.0,57,1011
11,10,37.6,43,1003
11,11,26.3,50,1003
11,12,23.8,23,1026
11,13,18.5,40,1013
11,14,17.3,34,1018
11,15,28.3,40,1015
11,16,24.4,67,1022
11,17,14.3,59,1032
11,18,11.8,62,1013
11,19,33.0,23,1001
11,20,14.3,28,1006
11,21,34.0,30,1011
11,22,37.5,69,1013
11,23,38.4,69,1029
11,24,30.2,68,995
12,1,19.9,57,1014
12,2,39.1,60,1031
12,3,39.8,56,1029
12,4,30.2,30,1012
12,5,17.6,24,1006
12,6,17.2,52,1010
12,7,15.6,23,1027
12,8,22.9,33,995
12,9,22.1,32,1003
12,10,17.1,53,1011
12,11,25.2,68,1000
12,12,22.7,29,999
12,13,13.3,56,1022
12,14,20.3,33,1028
12,15,39.4,52,1020
12,16,31.8,46,1034
12,17,11.7,29,1019
12,18,28.7,59,1031
12,19,28.7,66,1001
12,20,35.0,54,996
12,21,12.4,51,1006
12,22,38.5,42,1000
12,23,20.8,56,995
12,24,14.3,25,1021
13,1,32.1,61,999
13,2,13.6,34,1011
13,3,38.0,48,999
13,4,14.2,22,1017
13,5,39.9,45,1015
13,6,31.1,23,998
13,7,25.8,25,1017
13,8,33.9,47,1033
13,9,37.9,50,1019
13,10,25.5,50,1010
13,11,18.0,29,1003
13,12,32.0,26,1028
13,13,20.2,45,1013
13,14,28.3,44,1005
13,15,36.3,34,1012
13,16,38.2,35,1011
13,17,37.5,29,1008
13,18,33.2,28,1007
13,19,14.7,46,1011
13,20,35.5,35,1008
13,21,19.3,65,1008
13,22,23.9,59,1025
13,23,15.4,69,999
13,24,29.4,63,1031
14,1,17.9,51,1017
14,2,25.2,25,1015
14,3,32.5,28,1010
14,4,11.1,47,1005
14,5,21.7,61,1034
14,6,14.2,55,1027
14,7,17.5,32,1010
14,8,33.0,52,1015
14,9,21.4,48,1013
14,10,27.8,58,1013
14,11,19.9,46,1005
14,12,39.5,61,1002
14,13,10.2,69,1030
14,14,23.4,61,1011
14,15,27.8,57,998
14,16,17.0,39,1003
14,17,35.1,34,1019
14,18,31.5,58,1005
14,19,21.2,49,1033
14,20,27.4,27,1031
14,21,18.7,63,1019
14,22,14.4,57,1016
14,23,19.8,61,1014
14,24,22.0,61,1020
