1;Rosas;Rojo;Acampanada
2;Girasoles;Amarillo;Papilionácea o amariposada
3;Dondiego de noche;Fucsia/Magenta/Amarillo;Andromonoicas
4;Hortensias;Variado;Polígamas
5;Petunias;Rosa/Rojo/Variado;Subandroicas
6;Gladiolos;Variado;Flores monoicas
7;Nomeolvides;Azul claro;Rosácea
8;Cactus de navidad;Rojo/Fucsia/Blanco;Labiada
9;Ave del paraiso;Naranja/Azul;Cruciforme
10;Jacintos;Variado;Subginoicas
11;Aguileña;Rosa/Violeta/Variado;Acampanada
12;Boca de dragon;Blanco/Variado;Papilionácea o amariposada
